1.452374,3.723000,1.634763,1.729486,1.031847,6.609325,1.080845
1.450103,3.717623,1.632014,1.726786,1.030164,6.599237,1.079080
1.462565,3.749405,1.646080,1.741406,1.038976,6.656121,1.088250
1.451961,3.722450,1.633946,1.728691,1.031309,6.607313,1.080279
1.457638,3.737657,1.640504,1.735459,1.035403,6.634022,1.084397
1.460175,3.744454,1.643181,1.738398,1.037216,6.645980,1.086443
1.466119,3.760236,1.649989,1.745581,1.041426,6.673956,1.090897
1.454137,3.729165,1.636476,1.731176,1.032933,6.618940,1.081868
1.457089,3.737382,1.639795,1.734722,1.034902,6.632922,1.083854
1.460553,3.746646,1.643561,1.738682,1.037345,6.649155,1.086548
1.464279,3.756788,1.647818,1.743152,1.040157,6.666903,1.089273
1.456629,3.737256,1.639042,1.733846,1.034593,6.632073,1.083590
1.466754,3.763591,1.650490,1.746068,1.041795,6.678768,1.091139
1.465998,3.761956,1.649804,1.745278,1.041320,6.675893,1.090663
1.469575,3.770878,1.653672,1.749400,1.043752,6.691968,1.093198
1.468382,3.768545,1.652354,1.748169,1.042988,6.687329,1.092243
1.462089,3.752833,1.645315,1.740781,1.038562,6.659532,1.087777
1.465287,3.760751,1.648910,1.744351,1.040813,6.673311,1.090063
1.474971,3.786147,1.659807,1.755797,1.047579,6.719161,1.097384
1.475510,3.787686,1.660367,1.756520,1.048034,6.721049,1.097757
1.467616,3.767933,1.651532,1.747265,1.042444,6.685931,1.091885
1.464374,3.759577,1.647811,1.743255,1.040098,6.671217,1.089283
1.469739,3.773844,1.653923,1.749766,1.043974,6.695969,1.093415
1.470711,3.776594,1.655086,1.750867,1.044606,6.701132,1.094190
1.460704,3.750927,1.643693,1.738783,1.037517,6.655095,1.086531
1.475535,3.788984,1.660434,1.756652,1.048077,6.722831,1.097659
1.469173,3.773220,1.653393,1.749056,1.043558,6.694976,1.093090
1.447124,3.716856,1.628773,1.723063,1.028182,6.595956,1.076934
1.452253,3.730054,1.634216,1.728976,1.031525,6.618200,1.080429
1.475507,3.790144,1.660419,1.756705,1.048181,6.725589,1.097870
1.478137,3.797509,1.663521,1.759943,1.050146,6.738611,1.099953
1.479146,3.800342,1.664598,1.760959,1.050779,6.742946,1.100612
1.472572,3.783408,1.657078,1.753037,1.045975,6.712408,1.095515
1.476926,3.794780,1.662158,1.758476,1.049315,6.733808,1.099022
1.473795,3.786773,1.658471,1.754508,1.046878,6.718589,1.096469
1.479424,3.801349,1.664817,1.761255,1.050766,6.744454,1.100671
1.477956,3.798195,1.663359,1.759701,1.049857,6.738359,1.099632
1.469830,3.776823,1.654039,1.749750,1.044015,6.700895,1.093564
1.468465,3.773831,1.652536,1.748153,1.043133,6.695283,1.092612
1.474848,3.790170,1.659738,1.755785,1.047653,6.724816,1.097318
1.478876,3.800691,1.664171,1.760464,1.050507,6.743486,1.100286
1.475463,3.792227,1.660391,1.756598,1.048149,6.727862,1.097803
1.474424,3.789809,1.659179,1.755107,1.047345,6.722954,1.096902
1.480969,3.806907,1.666544,1.763140,1.051987,6.753513,1.101837
1.476508,3.795412,1.661533,1.757811,1.048837,6.733294,1.098589
1.476761,3.796122,1.661860,1.758020,1.049023,6.734300,1.098711
1.477505,3.797992,1.662686,1.758845,1.049403,6.737868,1.099200
1.477981,3.799430,1.663103,1.759404,1.049815,6.740538,1.099583
1.481330,3.808189,1.666783,1.763385,1.052207,6.755616,1.102036
1.473628,3.788357,1.658247,1.754202,1.046678,6.720558,1.096229
1.472656,3.785863,1.657044,1.752843,1.046051,6.715769,1.095413
1.476643,3.796872,1.661655,1.757805,1.048864,6.735182,1.098594
1.473811,3.789497,1.658482,1.754457,1.046839,6.722221,1.096559
1.477077,3.793184,1.662160,1.758309,1.049128,6.730232,1.098871
1.471154,3.779297,1.655367,1.751098,1.044735,6.704562,1.094232
1.473346,3.788155,1.657805,1.753746,1.046319,6.719149,1.095942
1.477734,3.800103,1.662819,1.759082,1.049569,6.740415,1.099295
1.472905,3.788334,1.657519,1.753597,1.046326,6.719569,1.095840
1.479395,3.804663,1.664791,1.761184,1.050896,6.748727,1.100624
1.472548,3.786875,1.656978,1.752954,1.045915,6.717220,1.095334
1.466839,3.772302,1.650522,1.746025,1.041792,6.690918,1.091231
1.479973,3.806616,1.665435,1.761929,1.051311,6.752412,1.101112
1.476121,3.796580,1.661129,1.757276,1.048617,6.734692,1.098226
1.482389,3.812978,1.668245,1.764698,1.053008,6.763538,1.102855
1.479638,3.806085,1.665201,1.761473,1.051017,6.751383,1.100918
1.484692,3.819408,1.670883,1.767590,1.054665,6.774772,1.104786
1.481574,3.809302,1.667296,1.763753,1.052390,6.757581,1.102428
1.480344,3.807625,1.666133,1.762459,1.051586,6.754744,1.101582
1.477023,3.799798,1.662028,1.758341,1.049252,6.740350,1.099068
1.479035,3.805331,1.664660,1.760957,1.050768,6.749940,1.100547
