1.474626,3.658391,1.659653,1.756317,1.046727,6.535014,1.096777
1.482211,3.680746,1.668250,1.765468,1.052142,6.574086,1.102587
1.476715,3.670149,1.661999,1.758779,1.048265,6.554519,1.098521
1.483226,3.683823,1.664502,1.762158,1.049877,6.569334,1.100156
1.480658,3.685964,1.666309,1.763374,1.051137,6.580420,1.101299
1.480693,3.689168,1.666395,1.763477,1.051113,6.584686,1.101307
1.486219,3.705709,1.672746,1.769950,1.055127,6.613948,1.105587
1.481712,3.696800,1.667550,1.764507,1.051758,6.596457,1.102104
1.481899,3.697450,1.667964,1.764971,1.052089,6.597943,1.102409
1.482264,3.699872,1.668126,1.765140,1.052217,6.601045,1.102564
1.477743,3.696041,1.663169,1.759874,1.049217,6.592598,1.099337
1.484561,3.715280,1.670833,1.767777,1.053856,6.625567,1.104265
1.479709,3.705726,1.665603,1.762468,1.050690,6.608109,1.100844
1.487820,3.727616,1.674529,1.771753,1.056319,6.645853,1.106644
1.479979,3.710132,1.665872,1.762599,1.050970,6.615107,1.101232
1.489973,3.736611,1.676957,1.774431,1.058078,6.661705,1.108557
1.484021,3.723901,1.670391,1.767508,1.053832,6.637768,1.104132
1.491741,3.744608,1.678925,1.776549,1.059185,6.674409,1.109805
1.487464,3.735335,1.674176,1.771567,1.056152,6.657250,1.106693
1.491798,3.748108,1.678983,1.776638,1.059279,6.679647,1.109878
1.478522,3.717697,1.664088,1.761043,1.049997,6.625006,1.100196
1.492677,3.755601,1.680329,1.777918,1.060148,6.692435,1.110877
1.492936,3.757714,1.680393,1.778047,1.060192,6.694464,1.110836
1.492038,3.756657,1.679408,1.776939,1.059555,6.692513,1.110149
1.491929,3.757461,1.679158,1.776692,1.059420,6.693336,1.110020
1.489584,3.753200,1.676559,1.773975,1.057756,6.685418,1.108293
1.488405,3.752116,1.675484,1.772951,1.057091,6.683102,1.107771
1.498243,3.778312,1.686492,1.784425,1.064156,6.729323,1.114955
1.493758,3.768101,1.681269,1.778882,1.060842,6.709975,1.111378
1.481443,3.738091,1.667499,1.764385,1.052075,6.656449,1.102380
1.483122,3.745290,1.669462,1.766564,1.053522,6.669025,1.103860
1.489412,3.762595,1.676679,1.774101,1.058024,6.699558,1.108565
1.490327,3.766058,1.677591,1.775148,1.058686,6.705427,1.109343
1.491724,3.770748,1.679244,1.776980,1.059749,6.713524,1.110463
1.496412,3.783372,1.684533,1.782619,1.063103,6.736571,1.114060
1.485803,3.757815,1.672635,1.769857,1.055474,6.689550,1.106080
1.490980,3.771827,1.678561,1.776243,1.059299,6.715038,1.110065
1.489147,3.768179,1.676508,1.773841,1.058004,6.707975,1.108571
1.490745,3.772965,1.678166,1.775503,1.058904,6.715599,1.109601
1.487583,3.765830,1.674460,1.771835,1.056702,6.701935,1.107205
1.488450,3.769346,1.675677,1.772914,1.057535,6.709450,1.107970
1.494065,3.784913,1.681963,1.779700,1.061630,6.736728,1.112401
1.491251,3.778218,1.678780,1.776382,1.059462,6.724075,1.110170
1.488693,3.772570,1.675934,1.773365,1.057703,6.714455,1.108349
1.486608,3.767984,1.673482,1.770891,1.056285,6.705962,1.106797
1.497858,3.797133,1.686039,1.784221,1.064238,6.757753,1.115155
1.492346,3.784021,1.679980,1.777608,1.060252,6.733390,1.110988
1.494011,3.789187,1.681821,1.779651,1.061460,6.742940,1.112388
1.491876,3.784954,1.679515,1.777201,1.059978,6.735428,1.110952
1.493076,3.789146,1.680979,1.778692,1.060930,6.742348,1.111840
1.491769,3.787067,1.679412,1.777080,1.060005,6.738311,1.110806
1.492372,3.788161,1.680282,1.777929,1.060664,6.740871,1.111525
1.489445,3.782580,1.676782,1.774274,1.058436,6.729923,1.109121
1.489150,3.783206,1.676574,1.774183,1.058319,6.730941,1.109054
1.493513,3.795056,1.681580,1.779322,1.061489,6.752091,1.112486
1.490561,3.787686,1.678266,1.775857,1.059398,6.739227,1.110294
1.494439,3.798242,1.682528,1.780506,1.062138,6.757550,1.113085
1.493910,3.797559,1.681964,1.779721,1.061629,6.755402,1.112620
1.495994,3.803507,1.684263,1.782188,1.063129,6.765291,1.114015
1.485294,3.776919,1.672109,1.769395,1.055483,6.717855,1.106080
1.489646,3.788720,1.677166,1.774830,1.058660,6.739197,1.109469
1.491075,3.793177,1.678780,1.776316,1.059607,6.746451,1.110487
1.493456,3.799478,1.681279,1.779033,1.061416,6.757665,1.112132
1.494605,3.802946,1.682669,1.780571,1.062158,6.763840,1.113130
1.491594,3.788530,1.678964,1.776748,1.059778,6.740445,1.110643
1.487750,3.785670,1.674717,1.772021,1.057104,6.731876,1.107507
1.490163,3.793422,1.677452,1.774953,1.058821,6.745475,1.109406
1.491712,3.798102,1.679353,1.776822,1.059979,6.754055,1.110769
1.492596,3.800762,1.680260,1.777909,1.060684,6.758679,1.111430
1.490815,3.796285,1.677957,1.775463,1.059048,6.748899,1.109632
