,92/98nat,94/98nat,95/98nat,96/98nat,97/98nat,98/98nat,100/98nat,92/98mix,94/98mix,95/98mix,96/98mix,97/98mix,98/98mix,100/98mix,fspk,alpha,beta,d92/98Mo,d94/98Mo,d95/98Mo,d96/98Mo,d97/98Mo,d98/98Mo,d100/98Mo
0,0.6146578749819525,0.3830572321825136,0.6596965111950136,0.6908210840096394,0.39572497323834016,1.0,0.3986451266032596,0.20441400189794898,0.5244712572175764,0.24190546040596786,0.26021904177117927,0.15762360527870733,1.0,0.17322660292211114,0.3912947482242523,-0.003429554731015732,1.563229797224283,0.21686286942701472,0.14308171459087582,0.10672166150316187,0.07081261604136024,0.03518841860516986,0.0,-0.06942086343564302
1,0.6147076199590316,0.383077686661784,0.6597227861716907,0.6908393408947974,0.3957301701880892,1.0,0.39863479789483597,0.2042340319898604,0.5245225554103959,0.24170738209076578,0.26001597764072076,0.15749609433093642,1.0,0.1731120293710329,0.3915975904584489,-0.004709518971688687,1.564024279373995,0.29781158405794983,0.19648732663424262,0.1465547974077719,0.0972422928395833,0.04832161204237906,0.0,-0.09532859616978584
2,0.614651790844879,0.3830547304268464,0.6596932975188579,0.690818851004509,0.3957243375931067,1.0,0.3986463899478054,0.20405360190212637,0.5245219252021469,0.24150274827044502,0.25979139818528596,0.15738035267197628,1.0,0.17299682228107865,0.39189056923499377,-0.003272999596993877,1.5663934386112142,0.20696231052319547,0.13654975692900528,0.10184969527315957,0.06757999430040407,0.033582081770733296,0.0,-0.06625198776399888
3,0.6162416941375705,0.38370820160351815,0.6605325447942398,0.6914018730829823,0.39589026505255737,1.0,0.3983168138587546,0.20502251562674842,0.5261891609879316,0.2416294419587691,0.2599237162571432,0.1573331528566352,1.0,0.17272000598755985,0.39208352220641673,-0.04413128126304536,1.525344396364945,2.7941708185543757,1.8427299867718183,1.3741572291194881,0.9115950038129927,0.4528967811128215,0.0,-0.8929351392730212
4,0.6145824037015843,0.38302619831085194,0.6596566456883396,0.6907933834235589,0.395717087941281,1.0,0.3986607990535419,0.20379167459315786,0.5247062048582418,0.24117514094692158,0.25944429535594177,0.1571901977310837,1.0,0.17275205262203205,0.39242731356769106,-0.0014874414564608144,1.5665067505783319,0.09405040682120003,0.062053843469911385,0.04628514181481691,0.030711715428122233,0.015261512133379895,0.0,-0.030109302246450476
5,0.6146135756830835,0.3830390164203203,0.6596731116814215,0.6908048249031397,0.3957203449120595,1.0,0.3986543255371151,0.20368815015808134,0.5248623472727084,0.24104512910903514,0.25930120372949816,0.15708773780956503,1.0,0.17263495724004227,0.39268615617630237,-0.0022896234322270525,1.5646670457824579,0.14477576610416598,0.09552127973888602,0.07124775732147981,0.047275034132043814,0.023492191535412488,0.0,-0.046346969780119984
6,0.6145501981624354,0.3830129549638562,0.6596396332930483,0.6907815621726776,0.395713722834999,1.0,0.3986674876651889,0.20350644349496927,0.5248195673823423,0.2408715384059026,0.2590860352740452,0.1569852967955416,1.0,0.17254924729576976,0.3929363780297139,-0.0006586191008490911,1.5675687924705528,0.041643165906046775,0.027476133499293454,0.02049417491778449,0.013598618783250416,0.006757563880466222,0.0,-0.013332106511443342
7,0.6146509342025331,0.38305437818068,0.6596928450341519,0.690818536597716,0.3957242480942684,1.0,0.39864656782718066,0.2034732351550343,0.525024326905922,0.24078679652965249,0.25899326285516383,0.15690472606145633,1.0,0.17244926915061318,0.3931385096589108,-0.003250956616558907,1.5639963268948087,0.20556831858953295,0.13563005998351585,0.10116372378754512,0.06712484163595711,0.03335590957131984,0.0,-0.06580580890758192
8,0.6146306480987381,0.3830460366083333,0.6596821296732627,0.6908110910602088,0.39572212864629897,1.0,0.3986507802752605,0.20343914854443998,0.5249746495889664,0.24078421640714384,0.25899722966037636,0.15691701227896365,1.0,0.1724619248383845,0.39312366619968786,-0.002728948940668339,1.5650795430784294,0.17255726654963333,0.11385063599078649,0.08491912605435026,0.05634626970540957,0.027999860060079484,0.0,-0.05523963020126477
9,0.6147971129598948,0.38311448358707767,0.6597700530799762,0.690872183182124,0.3957395188004035,1.0,0.3986162189552848,0.20343862344993616,0.525148303591278,0.24072064227887677,0.25891900854451405,0.15686798516172296,1.0,0.172392909450099,0.39326491323369067,-0.007011959851899943,1.5615813410942903,0.44344122977713063,0.29256223964702066,0.21821191835091902,0.1447866045798385,0.07194645735020266,0.0,-0.1419305700692819
10,0.6146110372702235,0.3830379726176969,0.6596717708300509,0.6908038932092949,0.3957200796939124,1.0,0.39865485267562945,0.2030121157614651,0.5251642812454694,0.2402744653812601,0.2584499432756956,0.15661290931585178,1.0,0.17212646346979782,0.39392507271189714,-0.002224301257886268,1.5667126297941383,0.14064507250877156,0.09279596382061328,0.0692150128007718,0.04592626258759225,0.022821959688501536,0.0,-0.04502473633294368
11,0.6145889026073376,0.3830288707188996,0.6596600786439267,0.6907957688382502,0.39571776698383915,1.0,0.39865944938355075,0.20295960496082024,0.5253149539112073,0.24019550738416703,0.25832940309293856,0.15652581575185975,1.0,0.17203073815601283,0.3941282866132694,-0.0016546881136183873,1.5647107088415055,0.10462590807014394,0.06903136587599334,0.05148953792666333,0.03416497367969562,0.016977518194405405,0.0,-0.03349470998337267
