,92/98nat,94/98nat,95/98nat,96/98nat,97/98nat,98/98nat,100/98nat,92/98mix,94/98mix,95/98mix,96/98mix,97/98mix,98/98mix,100/98mix,fspk,alpha,beta,d92/98Mo,d94/98Mo,d95/98Mo,d96/98Mo,d97/98Mo,d98/98Mo,d100/98Mo
0,0.6147156203088213,0.3830809762476609,0.6597270118041485,0.6908422770072598,0.39573100596653926,1.0,0.39863313685966756,0.19845524404462786,0.5283113600841911,0.23479862985310232,0.2524970867409034,0.15312795296811713,1.0,0.16819240760784288,0.4031793815108101,-0.004915362481223471,1.561313614873675,0.31083034635526197,0.20507626917365407,0.15296089983918293,0.10149277164539505,0.05043370482482601,0.0,-0.09949500821659907
1,0.6146918794847586,0.38307121444701964,0.6597144722712933,0.6908335640969175,0.39572852578973683,1.0,0.3986380660204261,0.1984255962942288,0.5282743646245696,0.23478724203355966,0.2524555595207502,0.15310306675111504,1.0,0.16819528877799073,0.40320635548194694,-0.004304519550398021,1.562253747599891,0.2721975173742841,0.1795887008517738,0.1339508385729271,0.0888794806965798,0.044166058748240644,0.0,-0.08713108290303584
2,0.6146693636920834,0.38306195623878647,0.6597025795536532,0.6908253005651486,0.39572617351642314,1.0,0.398642741067693,0.19840179635355606,0.5282119315089594,0.23477201863718475,0.25246486054099465,0.153115263637031,1.0,0.16820471201754034,0.40318927306021957,-0.003725174442072893,1.5637185603167094,0.2355581502868631,0.15541598686663605,0.115921355850368,0.07691673502696617,0.03822163712818849,0.0,-0.07540455620269615
3,0.6147202759033724,0.38308289052951766,0.6597294707877072,0.6908439855893562,0.3957314923217794,1.0,0.3986321702767817,0.19844733621357247,0.5283035969855583,0.23478870291796045,0.25246573625786817,0.15310851277276638,1.0,0.1681903503224814,0.4032028259860901,-0.005035146500850037,1.5615432235635918,0.31840627495904883,0.21007436239472987,0.15668874430052604,0.10396620959518543,0.05166277144197373,0.0,-0.10191950991078613
4,0.6146749346828512,0.38306424697023833,0.6597055221408814,0.6908273451960965,0.3957267555365376,1.0,0.39864158431876306,0.1983863660559761,0.5281837445886433,0.2347583324683778,0.25243782923466035,0.15310028820902588,1.0,0.16820753673287653,0.40320507323247995,-0.003868521415595909,1.5643766928804428,0.24462367947908348,0.161396970962846,0.12038234846745155,0.07987665588182757,0.03969245811297206,0.0,-0.07830605568237559
5,0.614644157371261,0.3830515915826438,0.6596892654513882,0.6908160493395169,0.39572354007220595,1.0,0.39864797502868227,0.19835969227923161,0.5281660705761538,0.23474006620934812,0.2524422065961894,0.15308466508693322,1.0,0.16819940210325354,0.4032263367032251,-0.0030765752221832373,1.565046610751846,0.1945405563315017,0.12835439328595655,0.09573703936216482,0.06352414908916693,0.03156666950676623,0.0,-0.062276093582891434
6,0.6146890894917296,0.383070067243552,0.6597129986243554,0.6908325401513148,0.3957282343170791,1.0,0.3986386453059606,0.19829595352843754,0.5281035887853887,0.2347090793281127,0.2523958315915085,0.15307378641839392,1.0,0.16820984745076903,0.4032526167657289,-0.0042327324762493155,1.566361681102882,0.26765743387668905,0.17659341055287214,0.13171677460110942,0.08739716040451206,0.043429479219758704,0.0,-0.08567804790693412
7,0.6145655678420524,0.3830192752104424,0.6596477522965165,0.6907872037647607,0.3957153288071477,1.0,0.39866429555352895,0.1982942277572973,0.5280577411210137,0.2347016565711566,0.25238172014842597,0.15308180579031191,1.0,0.16820389359760252,0.40324791608605964,-0.0010541693350271822,1.5678939431614374,0.0666538480360579,0.04397797804589487,0.032802667995879276,0.021765699536047123,0.010816010450609426,0.0,-0.021338952319482907
8,0.6147787056382614,0.3831069151793776,0.6597603312958309,0.6908654282962413,0.39573759602904107,1.0,0.3986200400631985,0.1983413431908075,0.5282334648431911,0.23471913161608848,0.2524139472459849,0.153073183276903,1.0,0.16818470945896377,0.40327474049563605,-0.006538410869085955,1.5633369480361894,0.41348747135749875,0.27280150948749693,0.20347359321926106,0.1350078581430214,0.06708742860106476,0.0,-0.13234599874478725
9,0.6148234221373094,0.3831253008108678,0.6597839479542618,0.6908818375545673,0.39574226689123404,1.0,0.3986107577925093,0.19834517725654316,0.5282202861069908,0.23468854236879666,0.25240368858569123,0.15306907971053102,1.0,0.16817903480505647,0.4032867124999407,-0.007688768318591766,1.5636968947785808,0.48625347374153804,0.320805464492091,0.23927669121825978,0.15876280814142163,0.07889114802517305,0.0,-0.15562892806342266
10,0.6147274660034001,0.3830858469366458,0.6597332684232284,0.6908466243063525,0.39573224344272906,1.0,0.39863067750520154,0.19835764665870173,0.5282331260941499,0.23468931948910662,0.2523762575120184,0.15308548015634021,1.0,0.16816187060414298,0.40329404565670046,-0.005220139153285678,1.5638844491853272,0.33010653877441065,0.2177933920528563,0.16244599895753886,0.1077861622742482,0.0535609265528425,0.0,-0.10566386259713845
11,0.6146457854234298,0.3830522610302453,0.659690125404904,0.690816646875056,0.3957237101665838,1.0,0.3986476369635848,0.19830422961510333,0.5281693650586672,0.23467543224650356,0.252384772589843,0.15306725369743499,1.0,0.16816421599829848,0.4033065768327688,-0.0031184684293503653,1.5656348427135791,0.19718984351912994,0.1301022871540436,0.09704073777028199,0.06438917458706506,0.03199651441088136,0.0,-0.0631240699060509
